itemNumber,path,url,main,show
100.550UK,1/0/100550UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100550UK_LS2.jpg,0,1
100.550UK,1/0/100550UK_GLS6.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GLS6.jpg,0,0
100.550UK,1/0/100550UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100550UK_CO1.jpg,0,0
100.550UK,1/0/100550UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100550UK_CO2.jpg,1,1
100.550UK,1/0/100550UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100550UK_IN1.jpg,0,1
100.550UK,1/0/100550UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100550UK_IN2.jpg,0,1
100.550UK,1/0/100550UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100550UK_IN3.jpg,0,0
100.550UK,1/0/100550UK_IN4.jpg,https://www.avsl.com/assets/images/1/0/100550UK_IN4.jpg,0,1
100.550UK,1/0/100550UK_IN5.jpg,https://www.avsl.com/assets/images/1/0/100550UK_IN5.jpg,0,1
100.550UK,1/0/100550UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100550UK_LS1.jpg,0,0
100.553UK,1/0/100553UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100553UK_CO2.jpg,1,1
100.553UK,1/0/100553UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN2.jpg,0,1
100.553UK,1/0/100553UK_IN7.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN7.jpg,0,0
100.553UK,1/0/100553UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN3.jpg,0,0
100.553UK,1/0/100553UK_IN6.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN6.jpg,0,1
100.553UK,1/0/100553UK_IN4.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN4.jpg,0,1
100.553UK,1/0/100553UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100553UK_CO1.jpg,0,0
100.553UK,1/0/100553UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN1.jpg,0,1
100.553UK,1/0/100553UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS1.jpg,0,1
100.553UK,1/0/100553UK_GLS4.jpg,https://www.avsl.com/assets/images/1/0/100553UK_GLS4.jpg,0,0
100.553UK,1/0/100553UK_GLS3.jpg,https://www.avsl.com/assets/images/1/0/100553UK_GLS3.jpg,0,0
100.553UK,1/0/100553UK_GLS5.jpg,https://www.avsl.com/assets/images/1/0/100553UK_GLS5.jpg,0,0
100.553UK,1/0/100553UK_GLS1.jpg,https://www.avsl.com/assets/images/1/0/100553UK_GLS1.jpg,0,0
100.553UK,1/0/100553UK_LS14.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS14.jpg,0,0
100.553UK,1/0/100553UK_LS16.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS16.jpg,0,0
100.553UK,1/0/100553UK_LS12.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS12.jpg,0,0
100.553UK,1/0/100553UK_LS17.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS17.jpg,0,0
100.553UK,1/0/100553UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100553UK_LS3.jpg,0,0
100.554UK,1/0/100554UK_IN6.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN6.jpg,0,1
100.554UK,1/0/100554UK_IN3.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN3.jpg,0,1
100.554UK,1/0/100554UK_IN4.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN4.jpg,0,0
100.554UK,1/0/100554UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN2.jpg,0,1
100.554UK,1/0/100554UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100554UK_CO1.jpg,0,0
100.554UK,1/0/100554UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN1.jpg,0,1
100.554UK,1/0/100554UK_IN7.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN7.jpg,0,0
100.554UK,1/0/100554UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100554UK_CO2.jpg,1,1
100.554UK,1/0/100554UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS1.jpg,0,0
